,brand,model,OS,RAM,approx_price_EUR,battery_removable,battery_type,battery_mah,CPU_cores,CPU_speed,primary_camera_mp,secondary_camera_mp,internal_memory_gb
519,Allview,C6 Quad 4G,Android,1,140.0,True,Li-Ion,1800,4,1.3,5,VGA,8
520,Allview,E2 Living,Android,512,90.0,True,Li-Po,1350,2,1.3,3.15,VGA,4
521,Allview,Twin X2,Android,1,230.0,False,Li-Po,1920,8,1.4,8,2,8
522,Allview,P7 Seon,Android,1,230.0,True,Li-Ion,2400,6,1.5,8,2,8
523,Allview,X1 Xtreme Mini,Android,2,300.0,False,Li-Po,2200,4,2.15,16,4,16
524,Allview,X2 Soul Mini,Android,1,230.0,False,Li-Ion,2050,8,1.7,8,5,16
525,Allview,Impera M,Microsoft,512,90.0,True,Li-Ion,1420,4,1.2,5,VGA,4
526,Allview,Impera S,Microsoft,1,170.0,True,Li-Ion,2000,4,1.2,8,2,8
527,Allview,Impera i,Microsoft,1,160.0,True,Li-Po,1750,4,1.2,8,2,8
528,Allview,A6 Quad,Android,512,130.0,True,Li-Ion,1500,4,1.2,5,VGA,4
529,Allview,X2 Soul,Android,2,340.0,False,Li-Ion,2300,8,1.7,13,5,16
530,Allview,P7 Xtreme,Android,1,290.0,False,,2200,8,1.7,13,No,16
531,Allview,X1 Xtreme,Android,3,470.0,False,Li-Po,2500,4,2.15,16,8,32
532,Allview,V1 Viper S,Android,2,310.0,True,Li-Ion,2500,4,1.4,13,5,16
546,Allview,Viva Q7 Life,Android,1,90.0,False,Li-Po,3000,4,1.0,VGA,No,8
547,Allview,3 Speed Quad HD,Android,1,160.0,False,Li-Po,8000,4,1.0,2,Yes,8
548,Allview,City Life,Android,512,70.0,False,Li-Po,3000,2,1.5,VGA,No,8
549,Allview,2 Speed Quad,Android,1,120.0,False,Li-Po,4400,4,1.0,2,VGA,8
550,Allview,City+,Android,512,80.0,False,Li-Po,3000,2,1.5,VGA,No,8
551,Allview,Viva H8,Android,1,190.0,False,Li-Po,4000,4,1.2,5,2,8
552,Allview,Viva Q8,Android,1,150.0,False,Li-Po,4000,4,1.0,5,VGA,8
