model,RAM,approx_price_EUR,battery_mah,CPU_cores,CPU_speed,primary_camera_mp,secondary_camera_mp,internal_memory_gb,brand,OS,battery_removable,battery_type,cluster
Xperia E3 Dual,1.0,190.0,2330.0,4,1.2,5.0,0.6,4.0,44,0,0,0,0
Xperia E3,1.0,170.0,2330.0,4,1.2,5.0,0.6,4.0,44,0,0,0,0
Xperia Z3 Tablet Compact,3.0,380.0,4500.0,4,2.5,8.1,2.2,16.0,44,0,0,0,2
Xperia Z3 Dual,3.0,400.0,3100.0,4,2.5,20.7,2.2,32.0,44,0,0,0,2
Xperia Z3v,3.0,370.0,3200.0,4,2.5,20.7,2.2,32.0,44,0,0,0,2
Xperia Z3,3.0,300.0,3100.0,4,2.5,20.7,2.2,32.0,44,0,0,0,2
Xperia Z3 Compact,2.0,300.0,2600.0,4,2.5,20.7,2.2,16.0,44,0,0,0,0
Xperia M2 Aqua,1.0,200.0,2300.0,4,1.2,8.0,0.6,8.0,44,0,0,0,0
Xperia C3 Dual,1.0,250.0,2500.0,4,1.2,8.0,5.0,8.0,44,0,0,0,0
Xperia C3,1.0,190.0,2500.0,4,1.2,8.0,5.0,8.0,44,0,0,0,0
Xperia Z2a,3.0,250.0,3000.0,4,2.3,20.7,0.6,16.0,44,0,0,0,2
Xperia T3,1.0,200.0,2500.0,4,1.4,8.0,1.1,8.0,44,0,0,0,0
Xperia M2,1.0,170.0,2300.0,4,1.2,8.0,0.6,8.0,44,0,0,0,0
Xperia M2 dual,1.0,180.0,2300.0,4,1.2,8.0,0.6,8.0,44,0,0,0,0
Xperia Z2 Tablet LTE,3.0,350.0,6000.0,4,2.3,8.1,2.2,16.0,44,0,0,1,1
Xperia Z2 Tablet Wi-Fi,3.0,380.0,6000.0,4,2.3,8.1,2.2,32.0,44,0,0,1,1
Xperia Z2,3.0,260.0,3200.0,4,2.3,20.7,2.2,16.0,44,0,0,0,2
Xperia E1 dual,0.512,120.0,1750.0,2,1.2,3.15,0.0,4.0,44,0,1,0,0
Xperia E1,0.512,140.0,1700.0,2,1.2,3.15,0.0,4.0,44,0,1,0,0
Xperia T2 Ultra dual,1.0,280.0,3000.0,4,1.4,13.0,1.1,8.0,44,0,0,0,2
Xperia T2 Ultra,1.0,230.0,3000.0,4,1.4,13.0,1.1,8.0,44,0,0,0,2
Xperia Z1s,2.0,260.0,3000.0,4,2.2,20.7,2.0,32.0,44,0,0,0,2
Xperia Z1 Compact,2.0,320.0,2300.0,4,2.2,20.7,2.0,16.0,44,0,0,0,0
Xperia Z1,2.0,330.0,3000.0,4,2.2,20.7,2.0,16.0,44,0,0,0,2
Xperia Z Ultra,2.0,280.0,3050.0,4,2.2,8.0,2.0,16.0,44,0,0,0,2
Xperia C,1.0,220.0,2390.0,4,1.2,8.0,0.6,4.0,44,0,0,0,0
Xperia M,1.0,130.0,1750.0,2,1.0,5.0,0.6,4.0,44,0,1,1,0
Xperia ZR,2.0,230.0,2300.0,4,1.5,13.1,0.6,8.0,44,0,1,0,0
Xperia L,1.0,130.0,1750.0,2,1.0,8.0,0.6,8.0,44,0,1,0,0
Xperia SP,1.0,180.0,2370.0,2,1.7,8.0,0.6,8.0,44,0,0,0,0
Xperia Tablet Z LTE,2.0,350.0,6000.0,4,1.5,8.1,2.2,16.0,44,0,0,1,1
Xperia Tablet Z Wi-Fi,2.0,300.0,6000.0,4,1.5,8.1,2.2,32.0,44,0,0,1,1
Xperia Z,2.0,270.0,2330.0,4,1.5,13.1,2.2,16.0,44,0,0,0,0
Xperia ZL,2.0,260.0,2370.0,4,1.5,13.0,2.0,16.0,44,0,0,0,0
Xperia E dual,0.512,100.0,1530.0,1,1.0,3.15,0.0,4.0,44,0,1,0,0
Xperia E,0.512,80.0,1530.0,1,1.0,3.15,0.0,4.0,44,0,1,0,0
Xperia T LTE,1.0,350.0,1850.0,2,1.5,13.0,1.3,16.0,44,0,0,0,0
Xperia Tablet S 3G,1.0,260.0,6000.0,4,1.3,8.0,1.0,64.0,44,0,0,0,1
Xperia Tablet S,1.0,190.0,6000.0,4,1.3,8.0,1.0,64.0,44,0,0,0,1
Xperia V,1.0,230.0,1750.0,2,1.5,13.0,0.6,8.0,44,0,1,0,0
Xperia J,0.512,140.0,1750.0,1,1.0,5.0,0.6,4.0,44,0,1,0,0
Xperia TX,1.0,330.0,1750.0,2,1.5,13.0,1.3,16.0,44,0,1,0,0
Xperia T,1.0,230.0,1850.0,2,1.5,13.0,1.3,16.0,44,0,0,0,0
Xperia SL,1.0,240.0,1750.0,2,1.7,12.0,1.3,32.0,44,0,0,0,0
Xperia tipo dual,0.512,90.0,1500.0,1,0.8,3.15,0.0,2.9,44,0,1,0,0
Xperia tipo,0.512,80.0,1500.0,1,0.8,3.15,0.0,2.9,44,0,1,0,0
Xperia miro,0.512,150.0,1500.0,1,0.8,5.0,0.6,4.0,44,0,1,0,0
Xperia go,0.512,160.0,1305.0,2,1.0,5.0,0.0,8.0,44,0,0,0,0
Xperia acro S,1.0,230.0,1910.0,2,1.5,12.0,1.3,16.0,44,0,0,0,0
Xperia SX SO-05D,1.0,220.0,1500.0,2,1.5,8.0,0.6,4.0,44,0,1,0,0
Xperia GX SO-04D,1.0,290.0,1700.0,2,1.5,13.0,1.3,16.0,44,0,1,0,0
Xperia acro HD SO-03D,1.0,290.0,1910.0,2,1.5,12.0,1.3,11.0,44,0,1,0,0
